,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
6,mitdb__100_180.csv,0.5011133587,0.388888851,0.6666666378,0.7119999758,0.4476999955,0.475860039,0.7692307692,16342.916,24.3804,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
7,mitdb__100_180.csv,0.02082737899,0.04545455025,0,0.05799999778,0.4731999953,0.01276107216,0.7515384615,17119.0672,34.6934,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
8,mitdb__100_180.csv,0.3059914874,0.2106060499,0.4999999767,0.5936666462,0.5858999941,0.2094628123,0.6384615385,16458.5646,24.8129,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
9,mitdb__100_180.csv,0.1743830107,0.1547618995,0.4999999767,0.4074999838,0.4491999955,0.1112578909,0.75,16326.2397,23.4344,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
0,stdb_308_0.csv,0.3463405103,0.2027777686,0.5833333014,0.9093333049,0.8781666593,0.2156538113,0.75,20227.0751,26.4102,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
1,stdb_308_0.csv,0.2413754347,0.0416666705,0.08333332431,0.7949999681,0.8854166593,0.1429593397,0.8,19705.1373,37.1468,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
2,stdb_308_0.csv,0.235525252,0.05555556002,0.3333333139,0.7519999695,0.8140833265,0.1400437885,0.8,17985.2997,33.9274,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
3,stdb_308_0.csv,0.325509938,0.08333334038,0.5454545155,0.8139999748,0.8037272654,0.2040845417,0.7333333333,16652.7069,25.8245,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
4,stdb_308_0.csv,0.2329391993,0.06250000472,0.4166666438,0.7139999737,0.7992499933,0.1393292198,0.5333333333,16137.1212,39.0117,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
5,stdb_308_0.csv,0.2909132032,0.08333334052,0.5454545163,0.7559999747,0.787181811,0.1808758006,0.7333333333,15986.9129,24.3676,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
6,stdb_308_0.csv,0.2680232508,0.08333333629,0.5833332951,0.8559999648,0.835499993,0.1593977732,0.8,16333.0242,28.0396,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
7,stdb_308_0.csv,0.2815717156,0.07575757748,0.09090908099,0.7669999721,0.8180909017,0.1747276378,0.6666666667,16634.0169,26.1274,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
